Season,Round,Driver Abbreviation,Stint,Tire Compound,Stint Length
2018,1,ALO,1.0,ULTRASOFT,25
2018,1,ALO,2.0,SOFT,32
2018,1,BOT,1.0,ULTRASOFT,24
2018,1,BOT,2.0,SUPERSOFT,33
2018,1,ERI,1.0,SUPERSOFT,5
2018,1,GAS,1.0,ULTRASOFT,13
2018,1,GRO,1.0,ULTRASOFT,23
2018,1,HAM,1.0,ULTRASOFT,17
2018,1,HAM,2.0,SOFT,39
2018,1,HAR,2.0,SOFT,23
2018,1,HAR,3.0,ULTRASOFT,33
2018,1,HUL,1.0,ULTRASOFT,23
2018,1,HUL,2.0,SOFT,34
2018,1,LEC,1.0,SUPERSOFT,19
2018,1,LEC,2.0,SOFT,7
2018,1,LEC,3.0,ULTRASOFT,31
2018,1,MAG,1.0,ULTRASOFT,21
2018,1,OCO,1.0,ULTRASOFT,22
2018,1,OCO,2.0,SOFT,35
2018,1,PER,1.0,ULTRASOFT,23
2018,1,PER,2.0,SOFT,34
2018,1,RAI,1.0,ULTRASOFT,17
2018,1,RAI,2.0,SOFT,40
2018,1,RIC,1.0,SUPERSOFT,25
2018,1,RIC,2.0,SOFT,32
2018,1,SAI,1.0,ULTRASOFT,21
2018,1,SAI,2.0,SOFT,36
2018,1,SIR,1.0,SUPERSOFT,4
2018,1,STR,1.0,SUPERSOFT,24
2018,1,STR,2.0,SOFT,4
2018,1,STR,3.0,ULTRASOFT,29
2018,1,VAN,1.0,ULTRASOFT,24
2018,1,VAN,2.0,SUPERSOFT,33
2018,1,VER,1.0,SUPERSOFT,20
2018,1,VER,2.0,SOFT,37
2018,1,VET,1.0,ULTRASOFT,25
2018,1,VET,2.0,SOFT,32
2018,2,ALO,1.0,SOFT,13
2018,2,ALO,2.0,MEDIUM,25
2018,2,ALO,3.0,SUPERSOFT,17
2018,2,BOT,1.0,SUPERSOFT,19
2018,2,BOT,2.0,MEDIUM,37
2018,2,ERI,1.0,SOFT,22
2018,2,ERI,2.0,MEDIUM,33
2018,2,GAS,1.0,SUPERSOFT,14
2018,2,GAS,2.0,SOFT,19
2018,2,GAS,3.0,SUPERSOFT,23
2018,2,GRO,1.0,SUPERSOFT,17
2018,2,GRO,2.0,SOFT,12
2018,2,GRO,3.0,SUPERSOFT,15
2018,2,GRO,4.0,SUPERSOFT,11
2018,2,HAM,1.0,SOFT,25
2018,2,HAM,2.0,MEDIUM,31
2018,2,HAR,1.0,SUPERSOFT,19
2018,2,HAR,2.0,SOFT,22
2018,2,HAR,3.0,SUPERSOFT,14
2018,2,HUL,1.0,SUPERSOFT,14
2018,2,HUL,2.0,SOFT,24
2018,2,HUL,3.0,SUPERSOFT,18
2018,2,LEC,1.0,SOFT,2
2018,2,LEC,2.0,MEDIUM,31
2018,2,LEC,3.0,SUPERSOFT,22
2018,2,MAG,1.0,SUPERSOFT,12
2018,2,MAG,2.0,SUPERSOFT,14
2018,2,MAG,3.0,SOFT,30
2018,2,OCO,1.0,SUPERSOFT,14
2018,2,OCO,2.0,MEDIUM,20
2018,2,OCO,3.0,SOFT,21
2018,2,PER,1.0,SOFT,8
2018,2,PER,2.0,MEDIUM,23
2018,2,PER,3.0,SUPERSOFT,24
2018,2,RAI,1.0,SUPERSOFT,18
2018,2,RAI,2.0,SOFT,15
2018,2,SAI,1.0,SUPERSOFT,15
2018,2,SAI,2.0,SUPERSOFT,10
2018,2,SAI,3.0,SOFT,30
2018,2,SIR,1.0,SOFT,21
2018,2,SIR,2.0,MEDIUM,18
2018,2,SIR,3.0,SUPERSOFT,16
2018,2,STR,1.0,SOFT,9
2018,2,STR,2.0,SUPERSOFT,19
2018,2,STR,3.0,MEDIUM,26
2018,2,VAN,1.0,SUPERSOFT,9
2018,2,VAN,2.0,SOFT,18
2018,2,VAN,3.0,MEDIUM,28
2018,2,VER,1.0,SOFT,1
2018,2,VER,2.0,SUPERSOFT,2
2018,2,VET,1.0,SUPERSOFT,16
2018,2,VET,2.0,SOFT,39
2018,3,ALO,1.0,SOFT,46
2018,3,ALO,2.0,MEDIUM,9
2018,3,BOT,1.0,SOFT,46
2018,3,BOT,2.0,MEDIUM,9
2018,3,ERI,1.0,SOFT,45
2018,3,ERI,2.0,MEDIUM,10
2018,3,GAS,1.0,MEDIUM,45
2018,3,GAS,2.0,SOFT,1
2018,3,GAS,3.0,ULTRASOFT,9
2018,3,GRO,1.0,ULTRASOFT,45
2018,3,GRO,3.0,MEDIUM,10
2018,3,HAM,1.0,SOFT,45
2018,3,HAM,2.0,MEDIUM,10
2018,3,HAR,1.0,ULTRASOFT,45
2018,3,HAR,3.0,SOFT,5
2018,3,HUL,1.0,ULTRASOFT,45
2018,3,HUL,2.0,MEDIUM,1
2018,3,HUL,3.0,SOFT,9
2018,3,LEC,1.0,SOFT,45
2018,3,LEC,2.0,MEDIUM,10
2018,3,MAG,1.0,SOFT,45
2018,3,MAG,2.0,MEDIUM,10
2018,3,OCO,1.0,SOFT,45
2018,3,OCO,2.0,SOFT,1
2018,3,OCO,3.0,ULTRASOFT,9
2018,3,PER,1.0,ULTRASOFT,45
2018,3,PER,2.0,SOFT,1
2018,3,PER,3.0,SOFT,9
2018,3,RAI,1.0,SOFT,46
2018,3,RAI,2.0,MEDIUM,9
2018,3,RIC,1.0,ULTRASOFT,46
2018,3,RIC,3.0,SOFT,9
2018,3,SAI,1.0,ULTRASOFT,45
2018,3,SAI,2.0,MEDIUM,1
2018,3,SAI,3.0,SOFT,9
2018,3,SIR,1.0,SOFT,45
2018,3,SIR,2.0,MEDIUM,1
2018,3,SIR,3.0,SOFT,9
2018,3,STR,1.0,SOFT,45
2018,3,STR,2.0,MEDIUM,10
2018,3,VAN,1.0,SOFT,45
2018,3,VAN,2.0,MEDIUM,10
2018,3,VER,1.0,ULTRASOFT,45
2018,3,VER,2.0,MEDIUM,1
2018,3,VER,3.0,SOFT,9
2018,3,VET,1.0,SOFT,44
2018,3,VET,2.0,MEDIUM,10
2018,4,ALO,2.0,SOFT,39
2018,4,ALO,3.0,ULTRASOFT,11
2018,4,BOT,1.0,SUPERSOFT,39
2018,4,BOT,2.0,ULTRASOFT,9
2018,4,ERI,2.0,SOFT,17
2018,4,ERI,3.0,ULTRASOFT,18
2018,4,ERI,4.0,ULTRASOFT,3
2018,4,ERI,5.0,ULTRASOFT,12
2018,4,GAS,1.0,ULTRASOFT,11
2018,4,GAS,2.0,SOFT,27
2018,4,GAS,3.0,ULTRASOFT,12
2018,4,GRO,1.0,SOFT,1
2018,4,GRO,2.0,SUPERSOFT,38
2018,4,GRO,3.0,ULTRASOFT,3
2018,4,HAM,1.0,SUPERSOFT,21
2018,4,HAM,2.0,SOFT,18
2018,4,HAM,3.0,ULTRASOFT,11
2018,4,HAR,2.0,ULTRASOFT,21
2018,4,HAR,3.0,SUPERSOFT,17
2018,4,HAR,4.0,ULTRASOFT,12
2018,4,HUL,1.0,ULTRASOFT,10
2018,4,LEC,1.0,SUPERSOFT,23
2018,4,LEC,2.0,SOFT,16
2018,4,LEC,3.0,ULTRASOFT,11
2018,4,MAG,2.0,SOFT,38
2018,4,MAG,3.0,ULTRASOFT,12
2018,4,OCO,1.0,ULTRASOFT,1
2018,4,PER,1.0,ULTRASOFT,1
2018,4,PER,2.0,SOFT,38
2018,4,PER,3.0,SUPERSOFT,11
2018,4,RAI,2.0,SOFT,1
2018,4,RAI,3.0,ULTRASOFT,49
2018,4,RIC,1.0,SUPERSOFT,36
2018,4,RIC,2.0,ULTRASOFT,3
2018,4,SAI,1.0,ULTRASOFT,14
2018,4,SAI,2.0,SOFT,25
2018,4,SAI,3.0,ULTRASOFT,11
2018,4,SIR,1.0,SUPERSOFT,1
2018,4,STR,1.0,SUPERSOFT,22
2018,4,STR,2.0,SOFT,17
2018,4,STR,3.0,ULTRASOFT,11
2018,4,VAN,1.0,SUPERSOFT,16
2018,4,VAN,2.0,SOFT,8
2018,4,VAN,3.0,ULTRASOFT,14
2018,4,VAN,4.0,ULTRASOFT,7
2018,4,VAN,5.0,ULTRASOFT,5
2018,4,VER,1.0,SUPERSOFT,37
2018,4,VER,2.0,ULTRASOFT,2
2018,4,VET,1.0,SUPERSOFT,28
2018,4,VET,2.0,SOFT,10
2018,4,VET,3.0,ULTRASOFT,11
2018,5,ALO,1.0,SUPERSOFT,20
2018,5,ALO,2.0,MEDIUM,44
2018,5,BOT,1.0,SOFT,18
2018,5,BOT,2.0,MEDIUM,47
2018,5,ERI,1.0,MEDIUM,34
2018,5,ERI,2.0,SOFT,29
2018,5,GAS,1.0,SOFT,1
2018,5,GRO,1.0,SOFT,1
2018,5,HAM,1.0,SOFT,23
2018,5,HAM,2.0,MEDIUM,41
2018,5,HAR,1.0,SOFT,3
2018,5,HAR,2.0,MEDIUM,29
2018,5,HAR,3.0,MEDIUM,31
2018,5,HUL,1.0,SOFT,1
2018,5,LEC,1.0,SOFT,19
2018,5,LEC,2.0,MEDIUM,44
2018,5,MAG,1.0,SOFT,31
2018,5,MAG,2.0,MEDIUM,33
2018,5,OCO,1.0,SOFT,28
2018,5,OCO,2.0,MEDIUM,10
2018,5,PER,1.0,SOFT,25
2018,5,PER,2.0,MEDIUM,14
2018,5,PER,3.0,SOFT,24
2018,5,RAI,1.0,SOFT,24
2018,5,RIC,1.0,SOFT,32
2018,5,RIC,2.0,MEDIUM,33
2018,5,SAI,1.0,SOFT,24
2018,5,SAI,2.0,MEDIUM,40
2018,5,SIR,1.0,SOFT,3
2018,5,SIR,2.0,MEDIUM,20
2018,5,SIR,3.0,MEDIUM,17
2018,5,SIR,4.0,SUPERSOFT,22
2018,5,STR,1.0,SOFT,19
2018,5,STR,2.0,MEDIUM,44
2018,5,VAN,1.0,SOFT,33
2018,5,VAN,2.0,MEDIUM,12
2018,5,VER,1.0,SOFT,33
2018,5,VER,2.0,MEDIUM,32
2018,5,VET,1.0,SOFT,16
2018,5,VET,2.0,MEDIUM,24
2018,5,VET,3.0,MEDIUM,25
2018,6,ALO,1.0,HYPERSOFT,18
2018,6,ALO,2.0,SUPERSOFT,34
2018,6,BOT,1.0,HYPERSOFT,16
2018,6,BOT,2.0,SUPERSOFT,61
2018,6,ERI,1.0,ULTRASOFT,16
2018,6,ERI,2.0,SUPERSOFT,61
2018,6,GAS,1.0,HYPERSOFT,36
2018,6,GAS,2.0,SUPERSOFT,41
2018,6,GRO,1.0,ULTRASOFT,14
2018,6,GRO,2.0,SUPERSOFT,53
2018,6,GRO,3.0,HYPERSOFT,9
2018,6,HAM,1.0,HYPERSOFT,11
2018,6,HAM,2.0,ULTRASOFT,66
2018,6,HAR,1.0,HYPERSOFT,12
2018,6,HAR,2.0,ULTRASOFT,58
2018,6,HUL,1.0,ULTRASOFT,49
2018,6,HUL,2.0,HYPERSOFT,28
2018,6,LEC,1.0,ULTRASOFT,13
2018,6,LEC,2.0,SUPERSOFT,57
2018,6,MAG,1.0,ULTRASOFT,16
2018,6,MAG,2.0,SUPERSOFT,61
2018,6,OCO,1.0,HYPERSOFT,22
2018,6,OCO,2.0,SUPERSOFT,55
2018,6,PER,1.0,HYPERSOFT,20
2018,6,PER,2.0,SUPERSOFT,57
2018,6,RAI,1.0,HYPERSOFT,16
2018,6,RAI,2.0,ULTRASOFT,61
2018,6,RIC,1.0,HYPERSOFT,15
2018,6,RIC,2.0,ULTRASOFT,61
2018,6,SAI,1.0,HYPERSOFT,15
2018,6,SAI,2.0,ULTRASOFT,62
2018,6,SIR,1.0,HYPERSOFT,6
2018,6,SIR,2.0,HYPERSOFT,12
2018,6,SIR,3.0,ULTRASOFT,30
2018,6,SIR,4.0,SUPERSOFT,28
2018,6,STR,1.0,ULTRASOFT,8
2018,6,STR,2.0,SUPERSOFT,25
2018,6,STR,3.0,HYPERSOFT,25
2018,6,STR,4.0,HYPERSOFT,17
2018,6,VAN,1.0,ULTRASOFT,19
2018,6,VAN,2.0,SUPERSOFT,52
2018,6,VAN,3.0,HYPERSOFT,5
2018,6,VER,1.0,ULTRASOFT,46
2018,6,VER,2.0,HYPERSOFT,31
2018,6,VET,1.0,HYPERSOFT,15
2018,6,VET,2.0,ULTRASOFT,62
2018,7,ALO,1.0,ULTRASOFT,17
2018,7,ALO,2.0,SUPERSOFT,23
2018,7,BOT,1.0,ULTRASOFT,35
2018,7,BOT,2.0,SUPERSOFT,34
2018,7,ERI,2.0,SUPERSOFT,67
2018,7,GAS,1.0,HYPERSOFT,22
2018,7,GAS,2.0,SUPERSOFT,46
2018,7,GRO,1.0,ULTRASOFT,47
2018,7,GRO,2.0,SUPERSOFT,21
2018,7,HAM,1.0,ULTRASOFT,15
2018,7,HAM,2.0,SUPERSOFT,54
2018,7,HAR,1.0,HYPERSOFT,1
2018,7,HUL,1.0,HYPERSOFT,12
2018,7,HUL,2.0,SUPERSOFT,56
2018,7,LEC,1.0,ULTRASOFT,18
2018,7,LEC,2.0,SUPERSOFT,50
2018,7,MAG,1.0,ULTRASOFT,21
2018,7,MAG,2.0,SUPERSOFT,47
2018,7,OCO,1.0,HYPERSOFT,10
2018,7,OCO,2.0,SUPERSOFT,58
2018,7,PER,1.0,HYPERSOFT,8
2018,7,PER,2.0,SUPERSOFT,35
2018,7,PER,3.0,SUPERSOFT,25
2018,7,RAI,1.0,ULTRASOFT,31
