Season,Round,Circuit,Date,Time (UTC),Air Temperature (°C),Track Temperature (°C),Humidity (%),Wind Speed (km/h)
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,4,Istanbul Park,08-05-2011,12:00:00Z,11.262500000000001,0.0,79.375,10.037500000000001
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,4,Istanbul Park,08-05-2011,12:00:00Z,11.262500000000001,0.0,79.375,10.037500000000001
2011,5,Circuit de Barcelona-Catalunya,22-05-2011,12:00:00Z,19.595833333333335,0.0,67.5,8.387500000000001
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,4,Istanbul Park,08-05-2011,12:00:00Z,11.262500000000001,0.0,79.375,10.037500000000001
2011,5,Circuit de Barcelona-Catalunya,22-05-2011,12:00:00Z,19.595833333333335,0.0,67.5,8.387500000000001
2011,6,Circuit de Monaco,29-05-2011,12:00:00Z,18.762500000000003,0.0,77.0,5.058333333333333
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,4,Istanbul Park,08-05-2011,12:00:00Z,11.262500000000001,0.0,79.375,10.037500000000001
2011,5,Circuit de Barcelona-Catalunya,22-05-2011,12:00:00Z,19.595833333333335,0.0,67.5,8.387500000000001
2011,6,Circuit de Monaco,29-05-2011,12:00:00Z,18.762500000000003,0.0,77.0,5.058333333333333
2011,7,Circuit Gilles Villeneuve,12-06-2011,17:00:00Z,15.050000000000004,0.0,88.125,16.925000000000004
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,4,Istanbul Park,08-05-2011,12:00:00Z,11.262500000000001,0.0,79.375,10.037500000000001
2011,5,Circuit de Barcelona-Catalunya,22-05-2011,12:00:00Z,19.595833333333335,0.0,67.5,8.387500000000001
2011,6,Circuit de Monaco,29-05-2011,12:00:00Z,18.762500000000003,0.0,77.0,5.058333333333333
2011,7,Circuit Gilles Villeneuve,12-06-2011,17:00:00Z,15.050000000000004,0.0,88.125,16.925000000000004
2011,8,Valencia Street Circuit,26-06-2011,12:00:00Z,25.82916666666667,0.0,61.25,8.862499999999999
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,4,Istanbul Park,08-05-2011,12:00:00Z,11.262500000000001,0.0,79.375,10.037500000000001
2011,5,Circuit de Barcelona-Catalunya,22-05-2011,12:00:00Z,19.595833333333335,0.0,67.5,8.387500000000001
2011,6,Circuit de Monaco,29-05-2011,12:00:00Z,18.762500000000003,0.0,77.0,5.058333333333333
2011,7,Circuit Gilles Villeneuve,12-06-2011,17:00:00Z,15.050000000000004,0.0,88.125,16.925000000000004
2011,8,Valencia Street Circuit,26-06-2011,12:00:00Z,25.82916666666667,0.0,61.25,8.862499999999999
2011,9,Silverstone Circuit,10-07-2011,12:00:00Z,15.699999999999998,0.0,78.375,6.608333333333332
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,4,Istanbul Park,08-05-2011,12:00:00Z,11.262500000000001,0.0,79.375,10.037500000000001
2011,5,Circuit de Barcelona-Catalunya,22-05-2011,12:00:00Z,19.595833333333335,0.0,67.5,8.387500000000001
2011,6,Circuit de Monaco,29-05-2011,12:00:00Z,18.762500000000003,0.0,77.0,5.058333333333333
2011,7,Circuit Gilles Villeneuve,12-06-2011,17:00:00Z,15.050000000000004,0.0,88.125,16.925000000000004
2011,8,Valencia Street Circuit,26-06-2011,12:00:00Z,25.82916666666667,0.0,61.25,8.862499999999999
2011,9,Silverstone Circuit,10-07-2011,12:00:00Z,15.699999999999998,0.0,78.375,6.608333333333332
2011,11,Hungaroring,31-07-2011,12:00:00Z,16.55,0.0,80.125,17.562499999999996
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,4,Istanbul Park,08-05-2011,12:00:00Z,11.262500000000001,0.0,79.375,10.037500000000001
2011,5,Circuit de Barcelona-Catalunya,22-05-2011,12:00:00Z,19.595833333333335,0.0,67.5,8.387500000000001
2011,6,Circuit de Monaco,29-05-2011,12:00:00Z,18.762500000000003,0.0,77.0,5.058333333333333
2011,7,Circuit Gilles Villeneuve,12-06-2011,17:00:00Z,15.050000000000004,0.0,88.125,16.925000000000004
2011,8,Valencia Street Circuit,26-06-2011,12:00:00Z,25.82916666666667,0.0,61.25,8.862499999999999
2011,9,Silverstone Circuit,10-07-2011,12:00:00Z,15.699999999999998,0.0,78.375,6.608333333333332
2011,11,Hungaroring,31-07-2011,12:00:00Z,16.55,0.0,80.125,17.562499999999996
2011,12,Circuit de Spa-Francorchamps,28-08-2011,12:00:00Z,13.024999999999997,0.0,78.625,18.591666666666665
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
2011,4,Istanbul Park,08-05-2011,12:00:00Z,11.262500000000001,0.0,79.375,10.037500000000001
2011,5,Circuit de Barcelona-Catalunya,22-05-2011,12:00:00Z,19.595833333333335,0.0,67.5,8.387500000000001
2011,6,Circuit de Monaco,29-05-2011,12:00:00Z,18.762500000000003,0.0,77.0,5.058333333333333
2011,7,Circuit Gilles Villeneuve,12-06-2011,17:00:00Z,15.050000000000004,0.0,88.125,16.925000000000004
2011,8,Valencia Street Circuit,26-06-2011,12:00:00Z,25.82916666666667,0.0,61.25,8.862499999999999
2011,9,Silverstone Circuit,10-07-2011,12:00:00Z,15.699999999999998,0.0,78.375,6.608333333333332
2011,11,Hungaroring,31-07-2011,12:00:00Z,16.55,0.0,80.125,17.562499999999996
2011,12,Circuit de Spa-Francorchamps,28-08-2011,12:00:00Z,13.024999999999997,0.0,78.625,18.591666666666665
2011,13,Autodromo Nazionale di Monza,11-09-2011,12:00:00Z,23.037500000000005,0.0,74.41666666666667,3.7583333333333333
2011,1,Albert Park Grand Prix Circuit,27-03-2011,06:00:00Z,15.183333333333332,0.0,77.375,6.05
2011,2,Sepang International Circuit,10-04-2011,08:00:00Z,24.995833333333334,0.0,92.79166666666667,5.379166666666666
2011,3,Shanghai International Circuit,17-04-2011,07:00:00Z,13.983333333333333,0.0,63.291666666666664,8.583333333333334
