Season,Round,Race Name,Date,Time (UTC),Circuit,Location,Country
1950,1,British Grand Prix,1950-05-13,Unknown,Silverstone Circuit,Silverstone,UK
1950,2,Monaco Grand Prix,1950-05-21,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1950,3,Indianapolis 500,1950-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1950,4,Swiss Grand Prix,1950-06-04,Unknown,Circuit Bremgarten,Bern,Switzerland
1950,5,Belgian Grand Prix,1950-06-18,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1950,6,French Grand Prix,1950-07-02,Unknown,Reims-Gueux,Reims,France
1950,7,Italian Grand Prix,1950-09-03,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1951,1,Swiss Grand Prix,1951-05-27,Unknown,Circuit Bremgarten,Bern,Switzerland
1951,2,Indianapolis 500,1951-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1951,3,Belgian Grand Prix,1951-06-17,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1951,4,French Grand Prix,1951-07-01,Unknown,Reims-Gueux,Reims,France
1951,5,British Grand Prix,1951-07-14,Unknown,Silverstone Circuit,Silverstone,UK
1951,6,German Grand Prix,1951-07-29,Unknown,Nürburgring,Nürburg,Germany
1951,7,Italian Grand Prix,1951-09-16,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1951,8,Spanish Grand Prix,1951-10-28,Unknown,Circuit de Pedralbes,Barcelona,Spain
1952,1,Swiss Grand Prix,1952-05-18,Unknown,Circuit Bremgarten,Bern,Switzerland
1952,2,Indianapolis 500,1952-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1952,3,Belgian Grand Prix,1952-06-22,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1952,4,French Grand Prix,1952-07-06,Unknown,Rouen-Les-Essarts,Rouen,France
1952,5,British Grand Prix,1952-07-19,Unknown,Silverstone Circuit,Silverstone,UK
1952,6,German Grand Prix,1952-08-03,Unknown,Nürburgring,Nürburg,Germany
1952,7,Dutch Grand Prix,1952-08-17,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1952,8,Italian Grand Prix,1952-09-07,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1953,1,Argentine Grand Prix,1953-01-18,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1953,2,Indianapolis 500,1953-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1953,3,Dutch Grand Prix,1953-06-07,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1953,4,Belgian Grand Prix,1953-06-21,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1953,5,French Grand Prix,1953-07-05,Unknown,Reims-Gueux,Reims,France
1953,6,British Grand Prix,1953-07-18,Unknown,Silverstone Circuit,Silverstone,UK
1953,7,German Grand Prix,1953-08-02,Unknown,Nürburgring,Nürburg,Germany
1953,8,Swiss Grand Prix,1953-08-23,Unknown,Circuit Bremgarten,Bern,Switzerland
1953,9,Italian Grand Prix,1953-09-13,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1954,1,Argentine Grand Prix,1954-01-17,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1954,2,Indianapolis 500,1954-05-31,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
