Season,Round,Driver Abbreviation,Stint,Tire Compound,Stint Length
2019,1,ALB,1.0,SOFT,14
2019,1,ALB,2.0,MEDIUM,43
2019,1,BOT,1.0,SOFT,23
2019,1,BOT,2.0,MEDIUM,35
2019,1,GAS,1.0,MEDIUM,37
2019,1,GAS,2.0,SOFT,20
2019,1,GIO,1.0,MEDIUM,27
2019,1,GIO,2.0,SOFT,30
2019,1,GRO,1.0,SOFT,15
2019,1,GRO,2.0,MEDIUM,15
2019,1,HAM,1.0,SOFT,15
2019,1,HAM,2.0,MEDIUM,43
2019,1,HUL,1.0,SOFT,13
2019,1,HUL,2.0,HARD,44
2019,1,KUB,1.0,HARD,1
2019,1,KUB,2.0,MEDIUM,27
2019,1,KUB,3.0,SOFT,16
2019,1,KUB,4.0,SOFT,11
2019,1,KVY,1.0,MEDIUM,26
2019,1,KVY,2.0,HARD,31
2019,1,LEC,1.0,SOFT,28
2019,1,LEC,2.0,HARD,30
2019,1,MAG,1.0,SOFT,14
2019,1,MAG,2.0,MEDIUM,44
2019,1,NOR,1.0,SOFT,15
2019,1,NOR,2.0,HARD,42
2019,1,PER,1.0,SOFT,13
2019,1,PER,2.0,HARD,44
2019,1,RAI,1.0,SOFT,12
2019,1,RAI,2.0,MEDIUM,45
2019,1,RIC,1.0,SOFT,1
2019,1,RIC,2.0,HARD,28
2019,1,RUS,1.0,MEDIUM,26
2019,1,RUS,2.0,SOFT,16
2019,1,RUS,3.0,HARD,14
2019,1,SAI,1.0,SOFT,10
2019,1,STR,1.0,MEDIUM,27
2019,1,STR,2.0,HARD,30
2019,1,VER,1.0,SOFT,25
2019,1,VER,2.0,MEDIUM,33
2019,1,VET,1.0,SOFT,14
2019,1,VET,2.0,MEDIUM,44
2019,2,ALB,1.0,SOFT,9
2019,2,ALB,2.0,SOFT,16
2019,2,ALB,3.0,MEDIUM,32
2019,2,BOT,1.0,SOFT,12
2019,2,BOT,2.0,MEDIUM,27
2019,2,BOT,3.0,SOFT,18
2019,2,GAS,1.0,SOFT,9
2019,2,GAS,2.0,SOFT,30
2019,2,GAS,3.0,MEDIUM,18
2019,2,GIO,1.0,SOFT,16
2019,2,GIO,2.0,MEDIUM,25
2019,2,GIO,3.0,SOFT,16
2019,2,GRO,1.0,SOFT,1
2019,2,GRO,2.0,MEDIUM,15
2019,2,HAM,1.0,SOFT,13
2019,2,HAM,2.0,SOFT,21
2019,2,HAM,3.0,MEDIUM,23
2019,2,HUL,1.0,SOFT,12
2019,2,HUL,2.0,SOFT,20
2019,2,HUL,3.0,MEDIUM,22
2019,2,KUB,1.0,MEDIUM,11
2019,2,KUB,2.0,SOFT,16
2019,2,KUB,3.0,MEDIUM,28
2019,2,KVY,1.0,SOFT,12
2019,2,KVY,2.0,MEDIUM,26
2019,2,KVY,3.0,SOFT,18
2019,2,LEC,1.0,SOFT,13
2019,2,LEC,2.0,MEDIUM,23
2019,2,LEC,3.0,MEDIUM,21
2019,2,MAG,1.0,SOFT,10
2019,2,MAG,2.0,MEDIUM,28
2019,2,MAG,3.0,SOFT,18
2019,2,NOR,1.0,SOFT,10
2019,2,NOR,2.0,MEDIUM,24
2019,2,NOR,3.0,SOFT,23
2019,2,PER,1.0,SOFT,8
2019,2,PER,2.0,MEDIUM,25
2019,2,PER,3.0,MEDIUM,24
2019,2,RAI,1.0,SOFT,9
2019,2,RAI,2.0,MEDIUM,24
2019,2,RAI,3.0,SOFT,24
2019,2,RIC,1.0,SOFT,24
2019,2,RIC,2.0,MEDIUM,30
2019,2,RUS,1.0,SOFT,12
2019,2,RUS,2.0,MEDIUM,14
2019,2,RUS,3.0,MEDIUM,30
2019,2,SAI,1.0,SOFT,4
2019,2,SAI,2.0,MEDIUM,20
2019,2,SAI,3.0,HARD,16
2019,2,SAI,4.0,SOFT,13
2019,2,STR,1.0,SOFT,1
2019,2,STR,2.0,MEDIUM,22
2019,2,STR,3.0,MEDIUM,33
2019,2,VER,1.0,SOFT,11
2019,2,VER,2.0,MEDIUM,21
2019,2,VER,3.0,MEDIUM,25
2019,2,VET,1.0,SOFT,14
2019,2,VET,2.0,MEDIUM,21
2019,2,VET,3.0,MEDIUM,3
2019,2,VET,4.0,SOFT,19
2019,3,ALB,1.0,SOFT,19
2019,3,ALB,2.0,HARD,36
2019,3,BOT,1.0,MEDIUM,21
2019,3,BOT,2.0,HARD,15
2019,3,BOT,3.0,MEDIUM,20
2019,3,GAS,1.0,SOFT,19
2019,3,GAS,2.0,HARD,20
2019,3,GAS,3.0,MEDIUM,14
2019,3,GAS,4.0,SOFT,3
2019,3,GIO,1.0,SOFT,7
2019,3,GIO,2.0,MEDIUM,23
2019,3,GIO,3.0,MEDIUM,25
2019,3,GRO,1.0,SOFT,8
2019,3,GRO,2.0,HARD,27
