Season,Round,Abbreviation,Stint,Tire Compound,Stint Length
2018,1,ALO,1,ULTRASOFT,25
2018,1,ALO,2,SOFT,32
2018,1,BOT,1,ULTRASOFT,24
2018,1,BOT,2,SUPERSOFT,33
2018,1,ERI,1,SUPERSOFT,5
2018,1,GAS,1,ULTRASOFT,13
2018,1,GRO,1,ULTRASOFT,23
2018,1,HAM,1,ULTRASOFT,17
2018,1,HAM,2,SOFT,39
2018,1,HAR,2,SOFT,23
2018,1,HAR,3,ULTRASOFT,33
2018,1,HUL,1,ULTRASOFT,23
2018,1,HUL,2,SOFT,34
2018,1,LEC,1,SUPERSOFT,19
2018,1,LEC,2,SOFT,7
2018,1,LEC,3,ULTRASOFT,31
2018,1,MAG,1,ULTRASOFT,21
2018,1,OCO,1,ULTRASOFT,22
2018,1,OCO,2,SOFT,35
2018,1,PER,1,ULTRASOFT,23
2018,1,PER,2,SOFT,34
2018,1,RAI,1,ULTRASOFT,17
2018,1,RAI,2,SOFT,40
2018,1,RIC,1,SUPERSOFT,25
2018,1,RIC,2,SOFT,32
2018,1,SAI,1,ULTRASOFT,21
2018,1,SAI,2,SOFT,36
2018,1,SIR,1,SUPERSOFT,4
2018,1,STR,1,SUPERSOFT,24
2018,1,STR,2,SOFT,4
2018,1,STR,3,ULTRASOFT,29
2018,1,VAN,1,ULTRASOFT,24
2018,1,VAN,2,SUPERSOFT,33
2018,1,VER,1,SUPERSOFT,20
2018,1,VER,2,SOFT,37
2018,1,VET,1,ULTRASOFT,25
2018,1,VET,2,SOFT,32
2018,2,ALO,1,SOFT,13
2018,2,ALO,2,MEDIUM,25
2018,2,ALO,3,SUPERSOFT,17
2018,2,BOT,1,SUPERSOFT,19
2018,2,BOT,2,MEDIUM,37
2018,2,ERI,1,SOFT,22
2018,2,ERI,2,MEDIUM,33
2018,2,GAS,1,SUPERSOFT,14
2018,2,GAS,2,SOFT,19
2018,2,GAS,3,SUPERSOFT,23
2018,2,GRO,1,SUPERSOFT,17
2018,2,GRO,2,SOFT,12
2018,2,GRO,3,SUPERSOFT,15
2018,2,GRO,4,SUPERSOFT,11
2018,2,HAM,1,SOFT,25
2018,2,HAM,2,MEDIUM,31
2018,2,HAR,1,SUPERSOFT,19
2018,2,HAR,2,SOFT,22
2018,2,HAR,3,SUPERSOFT,14
2018,2,HUL,1,SUPERSOFT,14
2018,2,HUL,2,SOFT,24
2018,2,HUL,3,SUPERSOFT,18
2018,2,LEC,1,SOFT,2
2018,2,LEC,2,MEDIUM,31
2018,2,LEC,3,SUPERSOFT,22
2018,2,MAG,1,SUPERSOFT,12
2018,2,MAG,2,SUPERSOFT,14
2018,2,MAG,3,SOFT,30
2018,2,OCO,1,SUPERSOFT,14
2018,2,OCO,2,MEDIUM,20
2018,2,OCO,3,SOFT,21
2018,2,PER,1,SOFT,8
2018,2,PER,2,MEDIUM,23
2018,2,PER,3,SUPERSOFT,24
2018,2,RAI,1,SUPERSOFT,18
2018,2,RAI,2,SOFT,15
2018,2,SAI,1,SUPERSOFT,15
2018,2,SAI,2,SUPERSOFT,10
2018,2,SAI,3,SOFT,30
2018,2,SIR,1,SOFT,21
2018,2,SIR,2,MEDIUM,18
2018,2,SIR,3,SUPERSOFT,16
2018,2,STR,1,SOFT,9
2018,2,STR,2,SUPERSOFT,19
2018,2,STR,3,MEDIUM,26
2018,2,VAN,1,SUPERSOFT,9
2018,2,VAN,2,SOFT,18
2018,2,VAN,3,MEDIUM,28
2018,2,VER,1,SOFT,1
2018,2,VER,2,SUPERSOFT,2
2018,2,VET,1,SUPERSOFT,16
2018,2,VET,2,SOFT,39
2018,3,ALO,1,SOFT,46
2018,3,ALO,2,MEDIUM,9
2018,3,BOT,1,SOFT,46
2018,3,BOT,2,MEDIUM,9
2018,3,ERI,1,SOFT,45
2018,3,ERI,2,MEDIUM,10
2018,3,GAS,1,MEDIUM,45
2018,3,GAS,2,SOFT,1
2018,3,GAS,3,ULTRASOFT,9
2018,3,GRO,1,ULTRASOFT,45
2018,3,GRO,3,MEDIUM,10
2018,3,HAM,1,SOFT,45
2018,3,HAM,2,MEDIUM,10
2018,3,HAR,1,ULTRASOFT,45
2018,3,HAR,3,SOFT,5
2018,3,HUL,1,ULTRASOFT,45
2018,3,HUL,2,MEDIUM,1
2018,3,HUL,3,SOFT,9
2018,3,LEC,1,SOFT,45
2018,3,LEC,2,MEDIUM,10
2018,3,MAG,1,SOFT,45
2018,3,MAG,2,MEDIUM,10
2018,3,OCO,1,SOFT,45
2018,3,OCO,2,SOFT,1
2018,3,OCO,3,ULTRASOFT,9
2018,3,PER,1,ULTRASOFT,45
2018,3,PER,2,SOFT,1
2018,3,PER,3,SOFT,9
2018,3,RAI,1,SOFT,46
2018,3,RAI,2,MEDIUM,9
2018,3,RIC,1,ULTRASOFT,46
2018,3,RIC,3,SOFT,9
2018,3,SAI,1,ULTRASOFT,45
2018,3,SAI,2,MEDIUM,1
2018,3,SAI,3,SOFT,9
2018,3,SIR,1,SOFT,45
2018,3,SIR,2,MEDIUM,1
2018,3,SIR,3,SOFT,9
2018,3,STR,1,SOFT,45
2018,3,STR,2,MEDIUM,10
2018,3,VAN,1,SOFT,45
2018,3,VAN,2,MEDIUM,10
2018,3,VER,1,ULTRASOFT,45
2018,3,VER,2,MEDIUM,1
2018,3,VER,3,SOFT,9
2018,3,VET,1,SOFT,44
2018,3,VET,2,MEDIUM,10
2018,4,ALO,2,SOFT,39
2018,4,ALO,3,ULTRASOFT,11
2018,4,BOT,1,SUPERSOFT,39
2018,4,BOT,2,ULTRASOFT,9
2018,4,ERI,2,SOFT,17
2018,4,ERI,3,ULTRASOFT,18
2018,4,ERI,4,ULTRASOFT,3
2018,4,ERI,5,ULTRASOFT,12
